Time,47959.obc_uptime_total
2023-03-02 22:00:09,60583607
2023-03-02 23:53:00,60590383
2023-03-02 23:54:27,60590471
2023-03-02 23:54:28,60590471
2023-03-02 23:54:35,60590471
2023-03-02 23:54:35,60590471
2023-03-02 23:54:36,60590471
2023-03-02 23:55:55,60590559
2023-03-02 23:55:56,60590559
2023-03-02 23:56:03,60590559
2023-03-02 23:56:03,60590559
2023-03-02 23:57:23,60590647
2023-03-02 23:57:24,60590647
2023-03-02 23:57:31,60590647
2023-03-02 23:58:52,60590735
2023-03-02 23:58:52,60590735
2023-03-02 23:59:00,60590735
2023-03-02 23:59:00,60590735
2023-03-03 00:00:19,60590823
2023-03-03 00:00:27,60590823
2023-03-03 01:28:21,60596103
2023-03-03 01:28:22,60596103
2023-03-03 01:28:29,60596103
2023-03-03 01:28:29,60596103
2023-03-03 01:28:29,60596103
2023-03-03 01:28:29,60596103
2023-03-03 01:29:49,60596191
2023-03-03 01:29:57,60596191
2023-03-03 01:29:57,60596191
2023-03-03 01:31:17,60596279
2023-03-03 01:31:18,60596279
2023-03-03 01:31:23,60596279
2023-03-03 01:31:23,60596279
2023-03-03 01:31:25,60596279
2023-03-03 01:31:25,60596279
2023-03-03 01:31:25,60596279
2023-03-03 01:31:25,60596279
2023-03-03 01:31:26,60596279
2023-03-03 01:31:26,60596279
2023-03-03 01:32:45,60596367
2023-03-03 01:32:46,60596367
2023-03-03 01:32:54,60596367
2023-03-03 01:32:54,60596367
2023-03-03 01:32:54,60596367
2023-03-03 01:32:54,60596367
2023-03-03 01:32:54,60596367
2023-03-03 01:32:54,60596367
2023-03-03 01:34:13,60596455
2023-03-03 01:34:14,60596455
2023-03-03 01:34:22,60596455
2023-03-03 01:34:22,60596455
2023-03-03 01:34:22,60596455
2023-03-03 01:34:22,60596455
2023-03-03 01:35:50,60596543
2023-03-03 03:02:24,60601735
2023-03-03 03:03:52,60601823
2023-03-03 03:03:52,60601823
2023-03-03 03:05:20,60601911
2023-03-03 03:05:20,60601911
2023-03-03 03:05:20,60601911
2023-03-03 03:06:48,60601999
2023-03-03 03:06:48,60601999
2023-03-03 03:08:16,60602087
2023-03-03 03:08:16,60602087
2023-03-03 03:08:16,60602087
2023-03-03 03:09:44,60602175
2023-03-03 03:09:44,60602175
2023-03-03 04:01:05,60605255
2023-03-03 04:37:46,60607455
2023-03-03 04:39:14,60607543
2023-03-03 04:40:42,60607631
2023-03-03 04:42:10,60607719
2023-03-03 04:42:10,60607719
2023-03-03 09:26:48,60624791
2023-03-03 09:28:16,60624879
2023-03-03 09:29:44,60624967
2023-03-03 09:31:13,60625055
2023-03-03 09:32:40,60625143
2023-03-03 09:34:08,60625231
2023-03-03 09:35:36,60625319
2023-03-03 10:40:10,60629191
2023-03-03 10:41:38,60629279
2023-03-03 10:44:27,60629455
2023-03-03 10:44:34,60629455
2023-03-03 10:44:34,60629455
2023-03-03 10:47:23,60629631
2023-03-03 10:47:30,60629631
2023-03-03 10:47:30,60629631
2023-03-03 12:15:24,60634911
2023-03-03 12:15:32,60634911
2023-03-03 12:16:52,60634999
2023-03-03 12:17:00,60634999
2023-03-03 12:17:00,60634999
2023-03-03 12:17:00,60634999
2023-03-03 12:18:21,60635087
2023-03-03 12:18:28,60635087
2023-03-03 12:18:28,60635087
2023-03-03 12:18:28,60635087
2023-03-03 12:19:49,60635175
2023-03-03 12:19:56,60635175
2023-03-03 12:21:24,60635263
2023-03-03 12:21:24,60635263
2023-03-03 12:22:52,60635351
2023-03-03 12:24:20,60635439
2023-03-03 13:53:50,60640807
2023-03-03 13:53:50,60640807
2023-03-03 13:55:18,60640895
2023-03-03 13:55:19,60640895
2023-03-03 20:12:21,60663511
2023-03-03 20:16:45,60663775
2023-03-03 23:44:58,60676271
2023-03-03 23:45:06,60676271
2023-03-03 23:45:06,60676271
2023-03-03 23:46:34,60676359
2023-03-03 23:46:34,60676359
2023-03-03 23:49:30,60676535
2023-03-04 01:18:55,60681903
2023-03-04 01:18:55,60681903
2023-03-04 01:19:00,60681903
2023-03-04 01:19:00,60681903
2023-03-04 01:19:00,60681903
2023-03-04 01:19:00,60681903
2023-03-04 01:20:19,60681991
2023-03-04 01:20:28,60681991
2023-03-04 01:20:28,60681991
2023-03-04 01:20:28,60681991
2023-03-04 01:20:28,60681991
2023-03-04 01:21:47,60682079
2023-03-04 01:21:56,60682079
2023-03-04 01:21:56,60682079
2023-03-04 01:21:56,60682079
2023-03-04 01:21:56,60682079
2023-03-04 01:21:56,60682079
2023-03-04 01:21:56,60682079
2023-03-04 01:21:56,60682079
2023-03-04 01:23:15,60682167
2023-03-04 01:23:24,60682167
2023-03-04 01:23:24,60682167
2023-03-04 01:23:24,60682167
2023-03-04 01:23:24,60682167
2023-03-04 01:23:24,60682167
2023-03-04 01:24:52,60682255
2023-03-04 01:24:52,60682255
2023-03-04 01:25:51,60682255
2023-03-04 02:52:54,60687535
2023-03-04 02:54:22,60687623
2023-03-04 02:55:50,60687711
2023-03-04 02:55:50,60687711
2023-03-04 02:55:50,60687711
2023-03-04 02:55:50,60687711
2023-03-04 02:57:18,60687799
2023-03-04 02:57:18,60687799
2023-03-04 02:57:18,60687799
2023-03-04 02:58:46,60687887
2023-03-04 02:58:46,60687887
2023-03-04 02:58:46,60687887
2023-03-04 03:00:14,60687975
2023-03-04 04:07:43,60692023
2023-03-04 04:28:16,60693255
2023-03-04 04:29:44,60693343
2023-03-04 04:31:12,60693431
2023-03-04 04:32:40,60693519
2023-03-04 04:32:40,60693519
2023-03-04 09:17:17,60710591
2023-03-04 09:18:45,60710679
2023-03-04 09:21:41,60710855
2023-03-04 09:23:09,60710943
2023-03-04 10:33:35,60715167
2023-03-04 10:36:24,60715343
2023-03-04 10:36:31,60715343
2023-03-04 10:37:59,60715431
2023-03-04 12:04:26,60720623
2023-03-04 12:04:33,60720623
2023-03-04 12:05:54,60720711
2023-03-04 12:06:01,60720711
2023-03-04 12:07:22,60720799
2023-03-04 12:07:29,60720799
2023-03-04 12:07:29,60720799
2023-03-04 12:08:50,60720887
2023-03-04 12:08:57,60720887
2023-03-04 12:08:57,60720887
2023-03-04 12:08:57,60720887
2023-03-04 12:08:57,60720887
2023-03-04 12:08:57,60720887
2023-03-04 12:10:18,60720975
2023-03-04 12:10:25,60720975
2023-03-04 12:10:25,60720975
2023-03-04 12:11:53,60721063
2023-03-04 12:11:53,60721063
2023-03-04 12:14:49,60721239
2023-03-04 13:41:23,60726431
2023-03-04 13:41:23,60726431
2023-03-04 15:19:41,60732327
2023-03-04 15:19:41,60732327
2023-03-04 15:21:10,60732415
2023-03-04 15:21:10,60732415
2023-03-04 15:21:10,60732415
2023-03-04 15:46:06,60733911
2023-03-04 15:47:34,60733999
2023-03-04 17:22:55,60739719
2023-03-04 20:07:15,60749575
2023-03-04 21:35:17,60754855
2023-03-04 21:36:45,60754943
2023-03-04 21:38:13,60755031
2023-03-04 21:39:41,60755119
2023-03-04 21:41:09,60755207
2023-03-04 21:42:37,60755295
2023-03-04 23:36:55,60762159
2023-03-04 23:37:04,60762159
2023-03-04 23:39:51,60762335
2023-03-04 23:39:52,60762335
2023-03-04 23:40:00,60762335
2023-03-04 23:40:00,60762335
2023-03-05 01:06:34,60767527
2023-03-05 01:06:34,60767527
2023-03-05 01:09:21,60767703
2023-03-05 01:09:21,60767703
2023-03-05 01:09:25,60767703
2023-03-05 01:09:30,60767703
